"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"541","GO:0002250",0.00382677353290671,0.99704263395197,207,755,"adaptive immune response","BP"
"7487","GO:0046649",0.00416045971524174,0.99675186702755,219,820,"lymphocyte activation","BP"
"684","GO:0002460",0.00767630217834169,0.994429722218909,119,382,"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP"
"6931","GO:0045321",0.00851784598017309,0.993112338023619,250,983,"leukocyte activation","BP"
"3303","GO:0016064",0.00886007031943316,0.994203991601704,71,195,"immunoglobulin mediated immune response","BP"
"677","GO:0002449",0.00972165383443328,0.992945990143833,110,372,"lymphocyte mediated immunity","BP"
"818","GO:0002694",0.0100178157219911,0.992297133756679,158,581,"regulation of leukocyte activation","BP"
"8261","GO:0051249",0.0102734654669664,0.992216947408483,141,513,"regulation of lymphocyte activation","BP"
"7786","GO:0048583",0.0103502230256107,0.990841916884658,816,4034,"regulation of response to stimulus","BP"
"3705","GO:0019724",0.0116914758448176,0.992225364296421,71,198,"B cell mediated immunity","BP"
"7488","GO:0046651",0.0128862930926202,0.990889178963505,88,295,"lymphocyte proliferation","BP"
"8064","GO:0050865",0.0132081315432765,0.989646012658091,170,639,"regulation of cell activation","BP"
"630","GO:0002376",0.0135818518273416,0.988095722581636,609,2897,"immune system process","BP"
"806","GO:0002682",0.0138896967398199,0.988223483721734,362,1616,"regulation of immune system process","BP"
"4099","GO:0030098",0.0147927028650284,0.988861075378308,125,428,"lymphocyte differentiation","BP"
"4979","GO:0032943",0.0157848316282274,0.988684584100035,90,303,"mononuclear cell proliferation","BP"
"8266","GO:0051254",0.0159215968982028,0.986377355660829,389,1817,"positive regulation of RNA metabolic process","BP"
"543","GO:0002252",0.0167064802863173,0.986663251043775,183,726,"immune effector process","BP"
"12824","GO:1902680",0.0181361403513331,0.984509959276622,364,1691,"positive regulation of RNA biosynthetic process","BP"
"7760","GO:0048523",0.0182525142173785,0.983590474686196,987,5064,"negative regulation of cellular process","BP"
"281","GO:0001775",0.0185648606021988,0.984523178681653,273,1134,"cell activation","BP"
"9862","GO:0070661",0.0185716502230566,0.986379313490837,98,337,"leukocyte proliferation","BP"
